2,2,12,11,10,11,10,10,7,12,2,3,7,11,7,11,11,11,3,9,2,6,7,2,4,4,4,4
11,11,11,2,2,12,10,10,7,12,3,3,7,2,7,7,10,10,3,2,2,9,6,2,2,2,4,4
3,3,12,12,12,7,3,3,3,3,3,7,12,2,7,10,10,3,3,2,9,2,7,2,4,4,6,4
11,3,10,10,10,7,12,12,3,3,10,11,1,2,7,2,3,3,10,2,2,7,7,6,4,4,6,4
11,3,10,7,7,7,2,6,2,3,10,12,1,1,6,3,3,10,1,1,6,1,2,4,4,2,4,4
11,7,3,7,3,7,2,2,3,3,3,2,6,9,2,3,10,10,1,1,2,2,4,4,4,4,4,4
9,10,10,10,11,2,6,2,1,1,3,3,2,3,3,3,3,3,6,2,9,1,2,4,4,4,4,4
10,9,3,3,10,10,11,7,9,9,2,9,2,2,2,6,2,3,3,3,2,2,2,2,4,4,4,4
8,11,3,8,8,8,10,7,7,2,2,7,2,2,9,2,2,2,2,3,3,2,1,6,4,4,4,4
8,10,3,3,3,8,8,10,11,7,7,7,3,2,5,5,5,4,6,2,9,2,2,7,4,4,4,4
8,11,10,10,3,8,8,3,11,11,7,2,2,2,2,5,5,4,4,7,2,2,7,7,4,4,4,4
8,8,7,7,3,3,3,3,10,10,10,2,3,3,3,2,2,2,4,4,7,2,7,7,4,4,4,4
3,3,3,3,3,10,10,10,3,10,3,10,12,3,12,2,9,2,4,2,2,9,2,2,4,4,4,4
3,3,3,8,8,2,2,10,2,3,3,3,2,2,2,4,4,4,4,2,6,2,2,4,4,4,4,4
3,3,8,11,10,3,3,11,12,2,5,5,5,2,1,2,2,9,2,4,4,4,4,4,4,4,4,4
3,3,11,8,10,10,10,10,6,1,2,9,3,2,1,1,2,2,6,2,1,2,2,4,4,4,4,4
3,11,8,11,4,4,4,4,4,1,1,2,2,2,2,2,3,3,2,9,2,2,11,11,4,4,4,4
3,8,10,4,4,4,4,4,4,4,2,2,3,3,2,7,2,6,2,2,3,2,11,11,4,4,4,4
3,8,10,8,4,4,4,2,2,7,2,9,2,3,2,7,7,11,2,3,11,11,11,11,4,4,4,4
3,3,8,11,9,7,12,11,7,2,7,2,2,3,3,3,2,2,3,3,3,11,11,2,4,4,4,4
3,3,3,12,12,7,7,12,12,7,2,2,9,3,3,5,9,2,10,10,3,2,11,2,4,4,4,4
3,8,12,9,12,3,10,10,2,8,8,3,3,3,3,5,5,5,5,5,11,2,7,2,4,4,4,4
3,8,11,8,3,3,3,3,3,8,8,8,3,3,3,3,5,11,11,5,5,2,7,7,4,4,4,4
